i,Palindrome,σ_reduce(ζ),l(σ_reduce(ζ)),l(ζ),Λ(ζ)
4,name now one man,namenowoneman,13,16,4
5,pull up if I pull up,pullupifipullup,15,20,6
6,too bad I hid a boot,toobadihidaboot,15,20,6
7,we panic in a pew,wepanicinapew,13,17,5
8,too hot to hoot,toohottohoot,12,15,4
9,do geese see god,dogeeseseegod,13,16,4
10,now do I repay a period won,nowdoirepayaperiodwon,21,27,7
11,some men interpret nine memos,somemeninterpretninememos,25,29,5
12,draw no dray a yard onward,drawnodrayayardonward,21,26,6
13,do not start at rats to nod,donotstartatratstonod,21,27,7
14,in a regal age ran I,inaregalagerani,15,20,6
15,goddesses so pay a possessed dog,goddessessopayapossesseddog,27,32,6
16,live dirt up a sidetrack carted is a putrid evil,livedirtupasidetrackcartedisaputridevil,39,48,10
17,regard a mere mad rager,regardameremadrager,19,23,5
18,trade ye no mere moneyed art,tradeyennomoremoneyedart,23,28,6
19,must sell at tallest sum,mustsellattallestsum,20,24,5
20,never a foot too far even,neverafoottoofareven,20,25,6
21,are we not drawn onward we few drawn onward to new era,arewenotdrawnonwardwefewdrawnonwardtonewera,37,47,11
22,god lived as a devil dog,godlivedasadevildog,19,24,6
25,was it a cat I saw,wasitacatisaw,13,18,6
26,was it a bar or a bat i saw,wasitabarorabatisaw,19,27,9
27,was it a bat I saw,wasitabatisaw,13,18,6
28,was it a car or a cat i saw,wasitacaroracatisaw,19,27,9
29,was it a hat I saw,wasitahatisaw,13,18,6
30,was it a rat I saw,wasitaratisaw,13,18,6
31,ma is as selfless as I am,maisasselflessasiam,19,23,7
32,never odd or even,neveroddoreven,14,17,4
33,red root put up to order,redrootputuptoorder,19,24,6
34,evil is a deed as I live,evilisadeedas,18,24,7
35,murder for a jar of red rum,murderforajarofredrum,21,27,7
36,ma is a nun as I am,maisanunasiam,13,19,7
37,now sir a war is won,nowsirawariswon,15,20,6
39,borrow or rob,borroworrob,11,13,3
40,dumb mud,dumbmud,7,8,2
41,go data dog,godatadog,9,11,3
42,git fig,gitfig,6,7,2
44,I met system I,imetsystemi,11,14,4
45,If I had a hifi,ifihadahifi,11,15,5
46,lager sir is regal,lagersirisregal,15,18,4
48,lepers repel,lepersrepel,11,12,2
50,live not on evil madam live not on evil,livenotonevilmadamlivenotonevil,31,44,9
51,may a moody baby doom a yam,mayamoodybabydoomayam,21,27,7
52,never even,nevereven,9,10,2
53,no it is open on one position,noitisopenononeposition,23,33,7
54,no it is opposition,noitisopposition,16,23,4
55,no it never propagates if I set a gap or prevention,noitneverpropagatesifisetagaporprevention,31,45,11
56,no pet so tragic as a cigar to step on,nopetsotragicasacigartostepon,29,42,10
57,no trace not one carton,notracenotonecarton,19,23,5
59,not on,noton,5,6,2
60,pull up,pullup,6,7,2
61,race fast safe car,racefastsafecar,15,18,4
65,rise to vote sir,risetovotesir,13,16,4
66,some many dynamos,somemanydynamos,15,18,3
68,to oscillate metallic soot,tooscillatemetallicsoot,23,26,4
